nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2019,01,0,0,"0,000","0,00","2,511","0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2019,01,0,0,"0,000","0,00","1,023","0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,2019,01,20,"1,291","1,352","1,31","3,565","37,92"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,2019,01,0,"2,618","1,309","2,62","1,085","120,65"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,2019,01,0,"1,382","872,000","1,38","1,55","56,26"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,2019,01,4,524,"256,000","528,00","3,131","8,18"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,2019,01,32,98,"130,000","130,00","3,472","3,74"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,2019,01,0,224,"224,000","224,00","1,767","12,68"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,2019,01,0,"1,058","1,058","1,06","1,178","89,81"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2019,01,0,0,"0,000","0,00","3,472","0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,51,57,2019,01,0,145,"135,000","145,00","1,581","8,54"
BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,68,68,2019,01,0,96,"96,000","96,00","2,108","4,55"
BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,41,54,2019,01,0,0,"0,000","0,00","1,271","0,00"
NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,2019,01,18,"1,894","0,000","1,91","5,146","0,00"
HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,2019,01,0,562,"0,000","562,00","1,085","0,00"
BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,2019,01,0,0,"0,000","0,00","1,271","0,00"
THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,2019,01,0,0,"0,000","0,00","1,364","0,00"
KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,2019,01,0,0,"0,000","0,00","1,395","0,00"
J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,2019,01,6,836,"485,000","842,00",930,"52,15"
SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,25,25,2019,01,0,0,"0,000","0,00",775,"0,00"
ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,74,74,2019,01,0,0,"0,000","0,00","2,294","0,00"
CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,78,123,2019,01,0,178,"100,000","178,00","2,418","4,14"
ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,17,29,2019,01,0,222,"222,000","222,00",527,"42,13"
MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,31,37,2019,01,0,196,"196,000","196,00",961,"20,40"
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2020,01,64,"2,263","1,475","2,33","5,611","26,29"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2020,01,305,"4,031","4,031","4,34","6,138","65,67"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2020,01,275,"3,441","4,934","3,72","6,665","74,03"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2020,01,127,"1,935","2.055,000","2,06","4,278","48,04"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2020,01,437,"3,397","2.792,000","3,83","6,2","45,03"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2020,01,40,"1,78","2,400","1,82","3,782","63,46"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2020,01,0,0,"0,000","0,00","2,48","0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2020,01,131,"4,632","2,897","4,76","4,588","63,14"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2020,01,0,0,"0,000","0,00","4,03","0,00"
GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2020,01,340,"3,904","3,334","4,24","4,65","71,70"
SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,2020,01,63,"3,045","3.577,000","3,11","7,13","50,17"
GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,2020,01,3,837,"394,000","840,00","3,596","10,96"
ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,2020,01,24,"6,654","3,868","6,68","20,553","18,82"
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2020,01,25,"1,868","1,158","1,89","5,642","20,52"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2020,01,0,"1,06","530,000","1,06","2,821","18,79"
ANDHIKA BAHTERA HOTEL,Marga Sari,Balikpapan Barat,Bintang 3,155,205,2020,01,49,"3,51","2.064,000","3,56","4,805","42,96"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2020,01,0,0,"0,000","0,00","4,65","0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2020,01,0,0,"0,000","0,00","5,735","0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2020,01,0,"1,397","1,095","1,40","4,774","22,94"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,2020,01,89,"3,407","1,872","3,50","3,069","61,00"
NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,109,159,2020,01,66,"3,897","2,170","3,96","3,379","64,22"
D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,2020,01,0,0,"0,000","0,00","2,263","0,00"
PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,101,159,2020,01,8,"1,517","1,073","1,53","3,131","34,27"
WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,27,37,2020,01,29,"5,02","2,840","5,05",837,"339,31"
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2020,01,43,879,"465,000","922,00","2,635","17,65"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,01,59,"3,655","3,655","3,71","4,805","76,07"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2020,01,63,"3,045","3,084","3,11","3,038","101,51"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2020,01,9,"3,827","2,179","3,84","5,146","42,34"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,2020,01,30,"6,09","3,140","6,12",930,"337,63"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,2020,01,3,"2,203","1,731","2,21","2,449","70,68"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,01,2,"1,847","961,000","1,85","4,805","20,00"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2020,01,0,"1,474","737,000","1,47","1,643","44,86"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,2020,01,0,202,"101,000","202,00","4,123","2,45"
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,112,172,2020,01,0,434,"355,000","434,00","3,472","10,22"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2020,01,0,0,"0,000","0,00","4,805","0,00"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,2020,01,0,736,"516,000","736,00","3,348","15,41"
HER HOTEL & TRADE CENTER,Gn. Samarinda,Balikpapan Utara,Bintang 3,154,200,2020,01,0,"1,397","1,095","1,40","4,774","22,94"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 2,73,73,2020,01,0,"3,291","1,893","3,29","2,263","83,65"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2020,01,0,0,"0,000","0,00","2,511","0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2020,01,0,0,"0,000","0,00","1,023","0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,2020,01,15,"1,277","1,292","1,29","3,565","36,24"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,2020,01,0,"2,522","1,261","2,52","1,085","116,22"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,2020,01,0,"1,321","884,000","1,32","1,55","57,03"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,2020,01,11,717,"314,000","728,00","3,131","10,03"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,2020,01,33,140,"173,000","173,00","3,472","4,98"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,2020,01,0,0,"0,000","0,00","1,767","0,00"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,2020,01,0,"1,898","949,000","1,90","1,178","80,56"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2020,01,0,0,"0,000","0,00","3,472","0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,51,57,2020,01,0,377,"372,000","377,00","1,581","23,53"
BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,68,68,2020,01,0,0,"0,000","0,00","2,108","0,00"
BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,41,54,2020,01,0,0,"0,000","0,00","1,271","0,00"
NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,2020,01,0,0,"0,000","0,00","5,146","0,00"
HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,2020,01,0,0,"0,000","0,00","1,085","0,00"
BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,2020,01,0,0,"0,000","0,00","1,271","0,00"
THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,2020,01,0,0,"0,000","0,00","1,364","0,00"
KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,2020,01,0,0,"0,000","0,00","1,395","0,00"
J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,2020,01,6,799,"457,000","805,00",930,"49,14"
SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,25,25,2020,01,0,0,"0,000","0,00",775,"0,00"
ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,74,74,2020,01,0,"1,304","652,000","1,30","2,294","28,42"
CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,78,123,2020,01,0,0,"0,000","0,00","2,418","0,00"
ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,17,29,2020,01,0,188,"94,000","188,00",527,"17,84"
MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,31,37,2020,01,0,200,"200,000","200,00",961,"20,81"
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2021,01,703,"3,201","3,916","3,90","5,611","69,79"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2021,01,192,"3,089","3,281","3,28","6,138","53,45"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2021,01,4,"2,513","2,517","2,52","6,665","37,76"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2021,01,8,"2,543","2,368","2,55","4,278","55,35"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2021,01,184,"6,14","2,683","6,32","6,2","43,27"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2021,01,16,"6,654","2,166","6,67","3,782","57,27"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2021,01,0,0,"0,000","0,00","2,48","0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2021,01,86,"2,809","2,012","2,90","4,588","43,85"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2021,01,0,0,"0,000","0,00","4,03","0,00"
GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2021,01,104,"5,084","2,583","5,19","4,65","55,55"
SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,2021,01,8,"4,086","2,601","4,09","7,13","36,48"
GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,2021,01,0,0,"0,000","0,00","3,596","0,00"
ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,2021,01,17,"3,967","1,984","3,98","20,553","9,65"
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2021,01,0,"3,998","3,998","4,00","5,642","70,86"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2021,01,0,"1,644","822,000","1,64","2,821","29,14"
ANDHIKA BAHTERA HOTEL,Marga Sari,Balikpapan Barat,Bintang 3,155,205,2021,01,0,"1,678","29,000","1,68","4,805","0,60"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2021,01,0,0,"0,000","0,00","4,65","0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2021,01,0,0,"0,000","0,00","5,735","0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2021,01,0,0,"0,000","0,00","4,774","0,00"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,2021,01,127,"2,467","1,437","2,59","3,069","46,82"
NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,109,159,2021,01,0,"4,185","2,427","4,19","3,379","71,83"
D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,2021,01,0,0,"0,000","0,00","2,263","0,00"
PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,101,159,2021,01,5,927,"724,000","932,00","3,131","23,12"
WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,27,37,2021,01,0,"4,319","2,496","4,32",837,"298,21"
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2021,01,149,364,"256,000","513,00","2,635","9,72"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2021,01,23,"3,429","3,452","3,45","4,805","71,84"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2021,01,0,0,"0,000","0,00","3,038","0,00"
